Band1, Band2, Band3, Band4, isWater, lat, long
1319,5102,2369,1527,1,41.5112800968671,-82.7462089947217
1234,1261,404,65528,1,41.49486700384516,-82.79544827378751
1183,1294,394,65528,1,41.49486700384516,-82.77903518076558
1226,1916,2319,65528,1,41.49486700384516,-82.76262208774364
1246,2112,1419,65528,1,41.49486700384516,-82.7462089947217
1250,1298,400,203,1,41.47845391082322,-82.79544827378751
1214,1227,382,180,1,41.47845391082322,-82.77903518076558
1212,1191,365,174,1,41.47845391082322,-82.76262208774364
1191,1210,343,172,1,41.47845391082322,-82.7462089947217
1559,5860,1573,65528,1,41.462040817801274,-82.79544827378751
1559,5860,1573,65528,1,41.462040817801274,-82.77903518076558
1500,3966,1391,65528,1,41.462040817801274,-82.76262208774364
1823,6338,3080,65528,1,41.462040817801274,-82.7462089947217
